index,id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
7642,61966,2018-12-18 17:27:30,Unsuitable Accommodation,0,D18121736,981020029335640,Copper,"Schnauzer, Standard/Poodle",Grey and White,Dog,1 year 2 months.,Male,Office,2019-05-26 00:00:00,Foster,0.0,2019-06-01 00:00:00,Stray,,Court Order/ Legal,0,0,0
7643,61966,2018-12-18 17:27:30,Unsuitable Accommodation,0,D18121736,981020029335640,Copper,"Schnauzer, Standard/Poodle",Grey and White,Dog,1 year 2 months.,Male,Office,2019-06-04 00:00:00,Foster,0.0,2019-06-13 00:00:00,Stray,,Court Order/ Legal,0,0,0
7644,61966,2018-12-18 17:27:30,Unsuitable Accommodation,0,D18121736,981020029335640,Copper,"Schnauzer, Standard/Poodle",Grey and White,Dog,1 year 2 months.,Male,Office,2019-06-13 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7645,61968,2018-12-18 17:51:12,Unable to Afford,0,C18121738,981020029726064,Lucy Sophia,Domestic Short Hair,Tabbico,Cat,15 weeks.,Female,Adoptable Cat Kennels,2018-12-22 00:00:00,Foster,0.0,2018-12-28 00:00:00,Stray,,Court Order/ Legal,0,0,0
7646,61968,2018-12-18 17:51:12,Unable to Afford,0,C18121738,981020029726064,Lucy Sophia,Domestic Short Hair,Tabbico,Cat,15 weeks.,Female,Adoptable Cat Kennels,2019-01-04 00:00:00,Foster,0.0,2019-01-29 00:00:00,Stray,,Court Order/ Legal,0,0,0
7647,61968,2018-12-18 17:51:12,Unable to Afford,0,C18121738,981020029726064,Lucy Sophia,Domestic Short Hair,Tabbico,Cat,15 weeks.,Female,Adoptable Cat Kennels,2019-01-31 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7648,61969,2018-12-18 18:11:01,Stray,0,C18121732,981020029715158,Antonio,Domestic Short Hair,Orange,Cat,4 years 1 month.,Male,Adoptable Cat Big Colony,2019-02-01 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7649,61970,2018-12-18 18:50:09,Stray,0,D18121738,0A107A1660,Sammy,Beagle,Tricolour,Dog,10 years 0 months.,Male,Canine intake room,2018-12-19 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7650,61973,2018-12-19 12:14:29,Stray,0,C18121739,,Violet,Domestic Medium Hair,Grey,Cat,16 years 4 months.,Female,Cat room C,2018-12-21 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7651,61975,2018-12-19 14:31:56,Incompatible with owner lifestyle,0,D18121739,981020021450792,Blu,Shar Pei/Mix,Grey,Dog,7 years 8 months.,Male,Adoptable Dogs,2019-01-14 00:00:00,Foster,0.0,2019-01-16 00:00:00,Stray,,Court Order/ Legal,0,0,0
7652,61975,2018-12-19 14:31:56,Incompatible with owner lifestyle,0,D18121739,981020021450792,Blu,Shar Pei/Mix,Grey,Dog,7 years 8 months.,Male,Adoptable Dogs,2019-01-16 00:00:00,Adoption,0.0,2019-08-01 00:00:00,Stray,,Court Order/ Legal,0,0,0
7653,61975,2018-12-19 14:31:56,Incompatible with owner lifestyle,0,D18121739,981020021450792,Blu,Shar Pei/Mix,Grey,Dog,7 years 8 months.,Male,Adoptable Dogs,2019-08-16 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7654,61976,2018-12-19 15:01:57,Stray,0,D18121740,,Ruby,Bully Breed Mix,Tan,Dog,1 year 1 month.,Female,Dog room D,2018-12-22 00:00:00,Reclaimed,0.0,,Stray,,Court Order/ Legal,0,0,0
7655,61977,2018-12-19 15:06:28,Incompatible with owner lifestyle,0,D18121741,981020025218767,Buddy Chihuahua,Chihuahua,Black and Tan,Dog,2 years 0 months.,Male,Adoptable Dogs,2018-12-20 00:00:00,Transfer,0.0,,Stray,,Court Order/ Legal,0,0,0
7656,61978,2018-12-19 15:14:05,Stray,0,C18121741,,grey cat,Domestic Short Hair,Grey,Cat,6 years 4 months.,Unknown,Canine intake room,2018-12-20 00:00:00,Transfer,0.0,,Stray,,Court Order/ Legal,0,0,0
7657,61979,2018-12-19 16:36:12,Unable to Afford,0,C18121743,981020027762020,Sherlock,Domestic Short Hair,Black and White,Cat,25 weeks.,Male,Adoptable Cat Middle Colony,2018-12-21 00:00:00,Foster,0.0,2019-01-16 00:00:00,Stray,,Court Order/ Legal,0,0,0
7658,61979,2018-12-19 16:36:12,Unable to Afford,0,C18121743,981020027762020,Sherlock,Domestic Short Hair,Black and White,Cat,25 weeks.,Male,Adoptable Cat Middle Colony,2019-01-16 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7659,61980,2018-12-19 16:36:12,Unable to Afford,0,C18121744,981020029318224,Watson,Domestic Short Hair,Black,Cat,16 weeks.,Male,Adoptable Cat Middle Colony,2018-12-21 00:00:00,Foster,0.0,2019-01-16 00:00:00,Stray,,Court Order/ Legal,0,0,0
7660,61980,2018-12-19 16:36:12,Unable to Afford,0,C18121744,981020029318224,Watson,Domestic Short Hair,Black,Cat,16 weeks.,Male,Adoptable Cat Middle Colony,2019-01-16 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7661,61982,2018-12-19 19:32:09,Abandoned,0,L1812801,,Big Nugget,Chicken,Grey Black and White,Livestock,1 year 0 months.,Male,Adoptable Dogs,2019-01-18 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7662,61983,2018-12-19 19:32:09,Abandoned,0,L1812802,,Pablito,Chicken,Grey Black and White,Livestock,1 year 1 month.,Male,Adoptable Dogs,2019-01-19 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7663,61984,2018-12-19 19:32:09,Abandoned,0,L1812803,,El Jefe,Chicken,Black,Livestock,1 year 0 months.,Male,Adoptable Dogs,2019-01-18 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7664,61985,2018-12-19 19:32:09,Abandoned,0,L1812804,,El Pollo Loco,Chicken,Grey Black and White,Livestock,1 year 2 months.,Male,Adoptable Dogs,2019-01-19 00:00:00,Foster,0.0,2019-03-05 00:00:00,Stray,,Court Order/ Legal,0,0,0
7665,61985,2018-12-19 19:32:09,Abandoned,0,L1812804,,El Pollo Loco,Chicken,Grey Black and White,Livestock,1 year 2 months.,Male,Adoptable Dogs,2019-03-05 00:00:00,Adoption,0.0,,Stray,,Court Order/ Legal,0,0,0
7666,61986,2018-12-20 12:05:05,Stray,0,H18121743,,Cammie,Dutch,White and Black,House Rabbit,1 year 3 months.,Female,Stray side Men`s restroom-Use for small animal holding-non-adoptable,2019-01-24 00:00:00,Adoption,0.0,2019-03-19 00:00:00,Return adopt - lifestyle issue,,Court Order/ Legal,0,0,0
